iter	Passed	Remaining
0	2	209
1	3	190
2	5	189
3	7	177
4	9	188
5	12	200
6	15	205
7	17	205
8	20	204
9	22	202
10	25	208
11	27	202
12	29	197
13	31	192
14	33	189
15	35	185
16	37	181
17	39	178
18	41	175
19	42	171
20	44	167
21	45	162
22	47	158
23	48	154
24	50	150
25	51	147
26	53	143
27	55	141
28	56	138
29	58	135
30	59	132
31	61	129
32	62	127
33	64	125
34	66	123
35	68	121
36	70	119
37	71	117
38	73	114
39	74	112
40	76	109
41	76	106
42	78	103
43	79	101
44	81	99
45	82	97
46	84	95
47	86	93
48	87	91
49	89	89
50	90	86
51	91	84
52	93	82
53	94	80
54	95	78
55	96	76
56	98	74
57	100	72
58	101	70
59	103	68
60	104	67
61	106	65
62	107	63
63	109	61
64	110	59
65	112	57
66	114	56
67	115	54
68	117	52
69	118	50
70	119	48
71	121	47
72	122	45
73	124	43
74	125	41
75	127	40
76	128	38
77	130	36
78	132	35
79	133	33
80	135	31
81	136	29
82	137	28
83	139	26
84	140	24
85	142	23
86	143	21
87	145	19
88	146	18
89	148	16
90	149	14
91	151	13
92	152	11
93	153	9
94	155	8
95	156	6
96	158	4
97	160	3
98	161	1
99	163	0
